"CLAVE_ENTIDAD","ENTIDAD_RES","POBLACION_TOTAL","POB_FEM","POB_MAS"
1,"AGUASCALIENTES",1425607,728924,696683
2,"BAJA CALIFORNIA",3769020,1868431,1900589
3,"BAJA CALIFORNIA SUR",798447,392568,405879
4,"CAMPECHE",928363,471424,456939
5,"COAHUILA DE ZARAGOZA",3146771,1583102,1563669
6,"COLIMA",731391,370769,360622
7,"CHIAPAS",5543828,2837881,2705947
8,"CHIHUAHUA",3741869,1888047,1853822
9,"CIUDAD DE MEXICO",9209944,4805017,4404927
10,"DURANGO",1832650,927784,904866
11,"GUANAJUATO",6166934,3170480,2996454
12,"GUERRERO",3540685,1840073,1700612
13,"HIDALGO",3082841,1601462,1481379
14,"JALISCO",8348151,4249696,4098455
15,"MEXICO",16992418,8741123,8251295
16,"MICHOACAN DE OCAMPO",4748846,2442505,2306341
17,"MORELOS",1971520,1020673,950847
18,"NAYARIT",1235456,623178,612278
19,"NUEVO LEON",5784442,2893492,2890950
20,"OAXACA",4132148,2157305,1974843
21,"PUEBLA",6583278,3423163,3160115
22,"QUERETARO",2368467,1211647,1156820
23,"QUINTANA ROO",1857985,921206,936779
24,"SAN LUIS POTOSI",2822255,1449804,1372451
25,"SINALOA",3026943,1532128,1494815
26,"SONORA",2944840,1472643,1472197
27,"TABASCO",2402598,1228927,1173671
28,"TAMAULIPAS",3527735,1791595,1736140
29,"TLAXCALA",1342977,693083,649894
30,"VERACRUZ DE IGNACIO DE LA LLAVE",8062579,4190805,3871774
31,"YUCATAN",2320898,1180619,1140279
32,"ZACATECAS",1622138,831080,791058
